Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
Dilke Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95107,"Speech House Road, Cinderford, GL14 3HX",Gloucestershire Care Services NHS Trust,GL14 3HX,95107,Dilke Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Fairford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95109,"The Croft, Fairford, GL7 4BB",Gloucestershire Care Services NHS Trust,GL7 4BB,95109,Fairford Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Gloucestershire Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111212,"Great Western Road, Gloucester, Gloucestershire, GL1 3NN",Gloucestershire Care Services NHS Trust,GL1 3NN,111212,Gloucestershire Royal Hospital,NA,Good,71%,NA,88%,NA,93%,78%,67%,NA,NA
Lydney & District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95108,"Grove Road, Lydney, Gloucestershire, GL15 5JE",Gloucestershire Care Services NHS Trust,GL15 5JE,95108,Lydney & District Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
North Cotswold Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=93192,"Stow Road, Moreton-In-Marsh, Gloucestershire, GL56 0DS",Gloucestershire Care Services NHS Trust,GL56 0DS,93192,North Cotswold Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Stroud General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95106,"Trinity Road, Stroud, Gloucestershire, GL5 2HY",Gloucestershire Care Services NHS Trust,GL5 2HY,95106,Stroud General Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Tetbury Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111178,"Malmesbury Road, Tetbury, Gloucestershire, GL8 8XB",Gloucestershire Care Services NHS Trust,GL8 8XB,111178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tewkesbury Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95103,"Barton Road, Tewkesbury, Gloucestershire, GL20 5QN",Gloucestershire Care Services NHS Trust,GL20 5QN,95103,Tewkesbury Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Vale Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95105,"Lister Road, Dursley, GL11 4BA",Gloucestershire Care Services NHS Trust,GL11 4BA,95105,Vale Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Ambrose House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29245,"Ambrose House, Meteor Court, Barnett Way, Barnwood, Gloucester, Gloucestershire, GL4 3GG",Gloucestershire Health and Care NHS Foundation Trust,GL4 3GG,29245,Ambrose House,NA,NA,NA,96%,NA,NA,NA,86%,71%,82%,NA
Berkeley House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107593,"Berkeley Close, Stroud, GL5 4SA",Gloucestershire Health and Care NHS Foundation Trust,GL5 4SA,107593,Berkeley House,NA,NA,NA,96%,NA,NA,NA,86%,71%,82%,NA
Charlton Lane Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107590,"Charlton Lane, Cheltenham, GL53 9DZ",Gloucestershire Health and Care NHS Foundation Trust,GL53 9DZ,107590,Charlton Lane Hospital,NA,NA,NA,96%,NA,NA,NA,86%,71%,82%,NA
Cirencester Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3101,"Cirencester Hospital, Tetbury Road, Cirencester, Gloucestershire, GL7 1UY",Gloucestershire Health and Care NHS Foundation Trust,GL7 1UY,3101,Cirencester Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Dilke Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3062,"Dilke Memorial Hospital, Speech House Road, Cinderford, Gloucestershire, GL14 3HX",Gloucestershire Health and Care NHS Foundation Trust,GL14 3HX,3062,Dilke Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Honeybourne,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107591,"Swindon Road, Cheltenham, GL51 9EZ",Gloucestershire Health and Care NHS Foundation Trust,GL51 9EZ,107591,Honeybourne,NA,No rating,NA,96%,NA,NA,NA,86%,71%,82%,NA
Lydney Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2978,"Lydney and District Hospital, Grove Road, Lydney, Gloucestershire, GL15 5JE",Gloucestershire Health and Care NHS Foundation Trust,GL15 5JE,2978,Lydney & District Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
New Tewkesbury Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152546,"Barton Road, Tewkesbury, GL20 5QJ",Gloucestershire Health and Care NHS Foundation Trust,GL20 5QJ,152546,Tewkesbury Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
North Cotswold Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115324,"Stow Road, Moreton-In-Marsh, Gloucestershire, GL56 0DS",Gloucestershire Health and Care NHS Foundation Trust,GL56 0DS,115324,North Cotswold Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Oak House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107595,"Barton Street, Hereford, HR4 0AY",Gloucestershire Health and Care NHS Foundation Trust,HR4 0AY,107595,Oak House,NA,No rating,NA,96%,NA,NA,NA,86%,71%,82%,NA
Stroud General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2959,"Stroud General Hospital, Trinity Road, Stroud, Gloucestershire, GL5 2HY",Gloucestershire Health and Care NHS Foundation Trust,GL5 2HY,2959,Stroud General Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Tewkesbury General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2516,"Barton Road, Tewkesbury, Gloucestershire, GL20 5QN",Gloucestershire Health and Care NHS Foundation Trust,GL20 5QN,2516,Tewkesbury Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Vale Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114686,"Lister Road, Dursley, Gloucestershire, GL11 4BA",Gloucestershire Health and Care NHS Foundation Trust,GL11 4BA,114686,Vale Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Wotton Lawn Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107589,"Wotton Lawn Hospital, Horton Road, Gloucester, Gloucestershire, GL1 3WL",Gloucestershire Health and Care NHS Foundation Trust,GL1 3WL,107589,Wotton Lawn Hospital,NA,NA,NA,96%,NA,NA,NA,86%,71%,82%,NA
Cheltenham & Gloucester Nuffield,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107054,"Hatherley Lane, Cheltenham, Gloucestershire, GL51 6SY",Gloucestershire Hospitals NHS Foundation Trust,GL51 6SY,107054,"Nuffield Health, Cheltenham Hospital",NA,Good,NA,NA,100%,NA,98%,NA,NA,NA,NA
Cheltenham General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2231,"Sandford Road, Cheltenham, Gloucestershire, GL53 7AN",Gloucestershire Hospitals NHS Foundation Trust,GL53 7AN,2231,Cheltenham General Hospital,NA,Good,90%,NA,93%,NA,93%,78%,67%,NA,NA
Cirencester Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2207,"Tetbury Road, Cirencester, Gloucestershire, GL7 1UY",Gloucestershire Hospitals NHS Foundation Trust,GL7 1UY,2207,Cirencester Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Dilke Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1075,"Speech House Road, Cinderford, Gloucestershire, GL14 3HX",Gloucestershire Hospitals NHS Foundation Trust,GL14 3HX,1075,Dilke Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Fairford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1054,"The Croft, Fairford, Gloucestershire, GL7 4BB",Gloucestershire Hospitals NHS Foundation Trust,GL7 4BB,1054,Fairford Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Gloucestershire Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=974,"Great Western Road, Gloucester, Gloucestershire, GL1 3NN",Gloucestershire Hospitals NHS Foundation Trust,GL1 3NN,974,Gloucestershire Royal Hospital,NA,Good,71%,NA,88%,NA,93%,78%,67%,NA,NA
Lydney & District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1920,"Grove Road, Lydney, Gloucestershire, GL15 5JE",Gloucestershire Hospitals NHS Foundation Trust,GL15 5JE,1920,Lydney & District Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Moore Cottage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1853,"Moore Road, Bourton-on-The-Water, Cheltenham, Gloucestershire, GL54 2AZ",Gloucestershire Hospitals NHS Foundation Trust,GL54 2AZ,1853,Moore Cottage Hospital,NA,NA,NA,NA,NA,NA,93%,78%,67%,NA,NA
North Cotswold Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99558,"Stow Road, Moreton-In-Marsh, Gloucestershire, GL56 0DS",Gloucestershire Hospitals NHS Foundation Trust,GL56 0DS,99558,North Cotswold Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
North Cotswold Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1144,"Moreton In Marsh District Hospital, Moreton-In-Marsh, Gloucestershire, GL56 0BS",Gloucestershire Hospitals NHS Foundation Trust,GL56 0BS,1144,North Cotswold Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Stroud General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1884,"Trinity Road, Stroud, Gloucestershire, GL5 2HY",Gloucestershire Hospitals NHS Foundation Trust,GL5 2HY,1884,Stroud General Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Stroud Maternity Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2273,"Field Road, Stroud, Gloucestershire, GL5 2JB",Gloucestershire Hospitals NHS Foundation Trust,GL5 2JB,2273,Stroud General Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Tetbury Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1229,"Malmesbury Road, Tetbury, Gloucestershire, GL8 8XB",Gloucestershire Hospitals NHS Foundation Trust,GL8 8XB,1229,Tetbury Hospital,NA,No rating,NA,NA,NA,NA,93%,78%,67%,NA,NA
Tewkesbury Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=93997,"Barton Road, Tewkesbury, Gloucestershire, GL20 5QN",Gloucestershire Hospitals NHS Foundation Trust,GL20 5QN,93997,Tewkesbury Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Tewkesbury General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2049,"Barton Road, Tewkesbury, Gloucestershire, GL20 5QN",Gloucestershire Hospitals NHS Foundation Trust,GL20 5QN,2049,Tewkesbury Community Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Thirlestaine Breast Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1643,"Cobalt House, Thirlstaine Road, Cheltenham, GL53 7AS",Gloucestershire Hospitals NHS Foundation Trust,GL53 7AS,1643,Thirlestaine Breast Centre,NA,NA,NA,NA,NA,NA,93%,78%,67%,NA,NA
Broomfield Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148858,"Court Road, Chelmsford, Essex, CM1 7ET",Great Ormond Street Hospital for Children NHS Foundation Trust,CM1 7ET,148858,Broomfield Hospital,NA,Requires Improvement,88%,NA,93%,NA,91%,71%,54%,NA,NA
Colchester General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128636,"Turner Road, Colchester, Essex, CO4 5JL",Great Ormond Street Hospital for Children NHS Foundation Trust,CO4 5JL,128636,Colchester General Hospital,NA,Requires Improvement,83%,NA,95%,NA,97%,71%,44%,NA,NA
Essex County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128637,"Lexden Road, Colchester, Essex, CO3 3NB",Great Ormond Street Hospital for Children NHS Foundation Trust,CO3 3NB,128637,Essex County Hospital,NA,NA,NA,NA,NA,NA,97%,71%,44%,NA,NA
Gosh Inpatients At Chelsea And Westminster Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131584,"Chelsea &amp; Westminster Hospital Nhs, 369 Fulham Road, London, Greater London, SW10 9NH",Great Ormond Street Hospital for Children NHS Foundation Trust,SW10 9NH,131584,Chelsea and Westminster Hospital,NA,Outstanding,90%,95%,88%,NA,92%,85%,70%,NA,NA
Great Ormond Street Hospital ,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1097,"Great Ormond Street, London, Greater London, WC1N 3JH",Great Ormond Street Hospital for Children NHS Foundation Trust,WC1N 3JH,1097,Great Ormond Street Hospital ,NA,Good,NA,NA,97%,NA,91%,94%,59%,NA,NA
King George Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128638,"Barley Lane, Ilford, Essex, IG3 8XG",Great Ormond Street Hospital for Children NHS Foundation Trust,IG3 8XG,128638,King George Hospital,NA,Requires Improvement,91%,NA,94%,NA,95%,62%,48%,NA,NA
Southend Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99760,"Prittlewell Chase, Westcliff-On-Sea, Essex, SS0 0RY",Great Ormond Street Hospital for Children NHS Foundation Trust,SS0 0RY,99760,Southend Hospital,NA,Requires Improvement,81%,NA,88%,NA,95%,74%,57%,NA,NA
St Johns Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147052,"Wood Street, Chelmsford, Essex, CM2 9BG",Great Ormond Street Hospital for Children NHS Foundation Trust,CM2 9BG,147052,St Johns Hospital,NA,NA,NA,NA,NA,NA,91%,94%,59%,NA,NA
St Margaret's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148860,"The Plain, Epping, Essex, CM16 6TN",Great Ormond Street Hospital for Children NHS Foundation Trust,CM16 6TN,148860,St Margaret's Hospital,NA,NA,NA,NA,NA,NA,97%,78%,65%,NA,NA
"The Royal Devon & Exeter, Heavitree",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=153573,"Gladstone Road, Exeter, EX1 2ED",Great Ormond Street Hospital for Children NHS Foundation Trust,EX1 2ED,153573,Heavitree Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
The Royal London Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128639,"Whitechapel Road, London, Greater London, E1 1BB",Great Ormond Street Hospital for Children NHS Foundation Trust,E1 1BB,128639,The Royal London Hospital,NA,Good,77%,97%,93%,NA,90%,77%,64%,NA,NA
Chippenham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1337,"Rowden Hill, Chippenham, Wiltshire, SN15 2AJ",Great Western Hospitals NHS Foundation Trust,SN15 2AJ,1337,Chippenham Community Hospital,NA,NA,NA,NA,NA,NA,97%,75%,60%,NA,NA
Cirencester Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128455,"Tetbury Road, Cirencester, Gloucestershire, GL7 1UY",Great Western Hospitals NHS Foundation Trust,GL7 1UY,128455,Cirencester Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Malmesbury Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147607,"Burton Hill, Malmesbury, Wiltshire, SN16 0EQ",Great Western Hospitals NHS Foundation Trust,SN16 0EQ,147607,Malmesbury Community Hospital,NA,NA,NA,NA,NA,NA,97%,75%,60%,NA,NA
Savernake Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2163,"General Hospital, Marlborough, Wiltshire, SN8 3HL",Great Western Hospitals NHS Foundation Trust,SN8 3HL,2163,Savernake Hospital,NA,NA,NA,NA,NA,NA,97%,75%,60%,NA,NA
The Brunel NHS Treatment Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=954,"Great Western Hospital, Marlborough Road, Swindon, Wiltshire, SN3 6BB",Great Western Hospitals NHS Foundation Trust,SN3 6BB,954,The Great Western Hospital,NA,Requires Improvement,77%,NA,93%,NA,97%,75%,60%,NA,NA
The Great Western Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1661,"Marlborough Road, Swindon, Wiltshire, SN3 6BB",Great Western Hospitals NHS Foundation Trust,SN3 6BB,1661,The Great Western Hospital,NA,Requires Improvement,77%,NA,93%,NA,97%,75%,60%,NA,NA
Trowbridge Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1180,"Adcroft Street, Trowbridge, Wiltshire, BA14 8PH",Great Western Hospitals NHS Foundation Trust,BA14 8PH,1180,Trowbridge Community Hospital,NA,NA,NA,NA,NA,NA,97%,75%,60%,NA,NA
Hulton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=137849,"Hulton Lane, Bolton, Lancashire, BL3 4JD",Greater Manchester Mental Health NHS Foundation Trust,BL3 4JD,137849,Hulton Hospital,NA,NA,NA,NA,NA,NA,NA,72%,65%,82%,NA
Prestwich Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2557,"Bury New Road, Prestwich, Manchester, Greater Manchester, M25 3BL",Greater Manchester Mental Health NHS Foundation Trust,M25 3BL,2557,Prestwich Hospital,NA,NA,NA,NA,NA,NA,NA,72%,65%,82%,NA
St Annes Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=137695,"Woodville Road, Altrincham, Cheshire, WA14 2AN",Greater Manchester Mental Health NHS Foundation Trust,WA14 2AN,137695,St Annes Hospital,NA,NA,NA,NA,NA,NA,NA,72%,65%,82%,NA
"The Royal Bolton Hospital, Rivington Unit",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3040,"Minerva Road, Farnworth, Bolton, Lancashire, BL4 0JR",Greater Manchester Mental Health NHS Foundation Trust,BL4 0JR,3040,Royal Bolton Hospital,NA,Good,93%,99%,96%,NA,94%,85%,75%,NA,NA
"Trafford General Hospital, Moorside Unit",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2325,"Moorside Road, Urmston, Manchester, Greater Manchester, M41 5SL",Greater Manchester Mental Health NHS Foundation Trust,M41 5SL,2325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Withington Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=132980,"Nell Lane, West Didsbury, Manchester, Greater Manchester, M20 2LR",Greater Manchester Mental Health NHS Foundation Trust,M20 2LR,132980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodlands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97547,"Peel Lane, Meadowstreet Lane, off Peel Lane, Manchester, Greater Manchester, M28 0FE",Greater Manchester Mental Health NHS Foundation Trust,M28 0FE,97547,Woodlands Hospital,NA,NA,NA,NA,NA,NA,NA,72%,65%,82%,NA
Darent Valley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119651,"Darenth Wood Road, Dartford, Kent, DA2 8DA",Guy's and St Thomas' NHS Foundation Trust,DA2 8DA,119651,Darent Valley Hospital,NA,Good,83%,NA,98%,NA,98%,82%,67%,NA,NA
Dulwich Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119653,"East Dulwich Grove, London, Greater London, SE22 8PT",Guy's and St Thomas' NHS Foundation Trust,SE22 8PT,119653,Dulwich Community Hospital,NA,NA,NA,97%,NA,NA,92%,90%,74%,NA,NA
Gravesend And North Kent Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119652,"Bath Street, Gravesend, Kent, DA11 0DG",Guy's and St Thomas' NHS Foundation Trust,DA11 0DG,119652,Gravesham Community Hospital,NA,No rating,NA,97%,NA,NA,NA,92%,80%,NA,NA
Gstt @ Brighton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148799,"Sussex Community Nhs Trust, Brighton General Hospital, Elm Grove, Brighton, East Sussex, BN2 3EW",Guy's and St Thomas' NHS Foundation Trust,BN2 3EW,148799,Brighton General Hospital,NA,No rating,NA,NA,94%,NA,95%,75%,69%,NA,NA
Gstt @ Conquest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148801,"The Kipling Unit, Conquest Hospital, The Ridge, St. Leonards-On-Sea, East Sussex, TN37 7RD",Guy's and St Thomas' NHS Foundation Trust,TN37 7RD,148801,Conquest Hospital,NA,Outstanding,86%,98%,97%,NA,97%,82%,62%,NA,NA
Gstt @ Derriford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152594,"Derriford Hospital, Derriford Road, Derriford, Plymouth, PL6 8DH",Guy's and St Thomas' NHS Foundation Trust,PL6 8DH,152594,Derriford Hospital,NA,Requires Improvement,90%,94%,98%,NA,95%,83%,67%,NA,NA
Gstt @ Eastbourne District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148802,"The Scott Unit, Eastbourne District General Hospita, Kings Drive, Eastbourne, East Sussex, BN21 2UD",Guy's and St Thomas' NHS Foundation Trust,BN21 2UD,148802,Eastbourne District General Hospital,NA,Good,96%,98%,99%,NA,97%,82%,62%,NA,NA
Gstt @ Epsom Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152517,"Epsom General Hospital, Dorking Road, Epsom, KT18 7EG",Guy's and St Thomas' NHS Foundation Trust,KT18 7EG,152517,Epsom Hospital,NA,Good,89%,99%,94%,NA,94%,80%,63%,NA,NA
Gstt @ Frimley Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148480,"Portsmouth Road, Frimley, Camberley, Surrey, GU16 7UJ",Guy's and St Thomas' NHS Foundation Trust,GU16 7UJ,148480,Frimley Park Hospital,NA,Outstanding,89%,98%,98%,NA,98%,88%,68%,NA,NA
Gstt @ Maidstone Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119780,"The Maidstone Hospital, Hermitage Lane, Maidstone, Kent, ME16 9QQ",Guy's and St Thomas' NHS Foundation Trust,ME16 9QQ,119780,Maidstone Hospital,NA,Requires Improvement,95%,NA,97%,NA,82%,78%,72%,NA,NA
Gstt @ Medway Maritime Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119782,"Medway Maritime Hospital, Windmill Road, Gillingham, Kent, ME7 5NY",Guy's and St Thomas' NHS Foundation Trust,ME7 5NY,119782,Medway Maritime Hospital,NA,Requires Improvement,78%,NA,88%,NA,92%,68%,53%,NA,NA
Gstt @ Norwich University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119779,"Norfolk &amp; Norwich University Hosp, Colney Lane, Colney, Norwich, Norfolk, NR4 7UY",Guy's and St Thomas' NHS Foundation Trust,NR4 7UY,119779,Norfolk and Norwich University Hospital,NA,Requires Improvement,79%,NA,95%,NA,95%,73%,50%,NA,NA
Gstt @ Queen Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119778,"Queen Victoria Hospital, Holtye Road, East Grinstead, West Sussex, RH19 3DZ",Guy's and St Thomas' NHS Foundation Trust,RH19 3DZ,119778,Queen Victoria Hospital (East Grinstead),NA,Good,96%,NA,98%,NA,95%,97%,71%,NA,NA
Gstt @ Royal Alexandra Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119781,"Queen Victoria Hospital, Holtye Road, East Grinstead, West Sussex, RH19 3DZ",Guy's and St Thomas' NHS Foundation Trust,RH19 3DZ,119781,Queen Victoria Hospital (East Grinstead),NA,Good,96%,NA,98%,NA,95%,97%,71%,NA,NA
Gstt @ William Harvey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148853,"William Harvey Hospital, Kennington Road, Willesborough, Ashford, Kent, TN24 0LZ",Guy's and St Thomas' NHS Foundation Trust,TN24 0LZ,148853,William Harvey Hospital (Ashford),NA,Requires Improvement,79%,NA,95%,NA,92%,73%,55%,NA,NA
Guy's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2189,"Great Maze Pond, London, SE1 9RT",Guy's and St Thomas' NHS Foundation Trust,SE1 9RT,2189,Guy's Hospital,NA,Good,NA,97%,95%,NA,92%,90%,74%,NA,95%
King's College Hospital (Denmark Hill),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111287,"Denmark Hill, London, Greater London, SE5 9RS",Guy's and St Thomas' NHS Foundation Trust,SE5 9RS,111287,King's College Hospital,NA,Requires Improvement,80%,NA,95%,NA,84%,76%,55%,NA,NA
Orpington Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119654,"Sevenoaks Road, Orpington, Kent, BR6 9JU",Guy's and St Thomas' NHS Foundation Trust,BR6 9JU,119654,Orpington Hospital,NA,Good,NA,NA,NA,NA,84%,76%,55%,NA,NA
Princess Royal University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119656,"Farnborough Common, Orpington, Kent, BR6 8ND",Guy's and St Thomas' NHS Foundation Trust,BR6 8ND,119656,Princess Royal University Hospital,NA,Requires Improvement,71%,NA,96%,NA,84%,76%,55%,NA,NA
Queen Elizabeth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119655,"Woolwich Stadium Road, Woolwich, London, Greater London, SE18 4QH",Guy's and St Thomas' NHS Foundation Trust,SE18 4QH,119655,Queen Elizabeth Hospital,NA,Requires Improvement,67%,98%,93%,NA,87%,69%,60%,NA,NA
Queen Mary's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119657,"Frognal Avenue, Sidcup, Kent, DA14 6LT",Guy's and St Thomas' NHS Foundation Trust,DA14 6LT,119657,Queen Mary,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
St Thomas',https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=970,"Westminster Bridge Road, London, SE1 7EH",Guy's and St Thomas' NHS Foundation Trust,SE1 7EH,970,St Thomas',NA,Good,83%,97%,96%,NA,92%,90%,74%,NA,NA
